date,country,season
2018-01-01,USA,Winter
2018-01-01,DEU,Winter
2018-01-01,FRA,Winter
2018-01-01,KOR,Winter
2018-01-01,JPN,Winter
2018-01-01,GBR,Winter
2018-01-01,CAN,Winter
2018-01-01,AUS,Summer
2018-01-01,BRA,Summer
2018-01-01,ZAF,Summer
2018-01-02,USA,Winter
2018-01-02,DEU,Winter
2018-01-02,FRA,Winter
2018-01-02,KOR,Winter
2018-01-02,JPN,Winter
2018-01-02,GBR,Winter
2018-01-02,CAN,Winter
2018-01-02,AUS,Summer
2018-01-02,BRA,Summer
2018-01-02,ZAF,Summer
2018-01-03,USA,Winter
2018-01-03,DEU,Winter
2018-01-03,FRA,Winter
2018-01-03,KOR,Winter
2018-01-03,JPN,Winter
2018-01-03,GBR,Winter
2018-01-03,CAN,Winter
2018-01-03,AUS,Summer
2018-01-03,BRA,Summer
2018-01-03,ZAF,Summer
2018-01-04,USA,Winter
2018-01-04,DEU,Winter
2018-01-04,FRA,Winter
2018-01-04,KOR,Winter
2018-01-04,JPN,Winter
2018-01-04,GBR,Winter
2018-01-04,CAN,Winter
2018-01-04,AUS,Summer
2018-01-04,BRA,Summer
2018-01-04,ZAF,Summer
2018-01-05,USA,Winter
2018-01-05,DEU,Winter
2018-01-05,FRA,Winter
2018-01-05,KOR,Winter
2018-01-05,JPN,Winter
2018-01-05,GBR,Winter
2018-01-05,CAN,Winter
2018-01-05,AUS,Summer
2018-01-05,BRA,Summer
2018-01-05,ZAF,Summer
2018-01-06,USA,Winter
2018-01-06,DEU,Winter
2018-01-06,FRA,Winter
2018-01-06,KOR,Winter
2018-01-06,JPN,Winter
2018-01-06,GBR,Winter
2018-01-06,CAN,Winter
2018-01-06,AUS,Summer
2018-01-06,BRA,Summer
2018-01-06,ZAF,Summer
2018-01-07,USA,Winter
2018-01-07,DEU,Winter
2018-01-07,FRA,Winter
2018-01-07,KOR,Winter
2018-01-07,JPN,Winter
2018-01-07,GBR,Winter
2018-01-07,CAN,Winter
2018-01-07,AUS,Summer
2018-01-07,BRA,Summer
2018-01-07,ZAF,Summer
2018-01-08,USA,Winter
