month,country,confidence_index
2018-01-01,USA,101.3881
2018-02-01,USA,101.5451
2018-03-01,USA,101.6426
2018-04-01,USA,101.5936
2018-05-01,USA,101.5108
2018-06-01,USA,101.4549
2018-07-01,USA,101.4246
2018-08-01,USA,101.4354
2018-09-01,USA,101.5157
2018-10-01,USA,101.4986
2018-11-01,USA,101.3934
2018-12-01,USA,101.2293
2019-01-01,USA,101.033
2019-02-01,USA,101.0851
2019-03-01,USA,101.2947
2019-04-01,USA,101.4484
2019-05-01,USA,101.533
2019-06-01,USA,101.4428
2019-07-01,USA,101.2198
2019-08-01,USA,100.9351
2019-09-01,USA,100.9351
2019-10-01,USA,101.1301
2019-11-01,USA,101.3884
2019-12-01,USA,101.6074
2020-01-01,USA,101.6059
2020-02-01,USA,101.1944
2020-03-01,USA,100.235
2020-04-01,USA,99.19157
2020-05-01,USA,98.7109
2020-06-01,USA,98.66305
2020-07-01,USA,98.67966
2020-08-01,USA,98.87366
2020-09-01,USA,99.17397
2020-10-01,USA,99.31693
2020-11-01,USA,99.27551
2020-12-01,USA,99.27845
2021-01-01,USA,99.2843
2021-02-01,USA,99.41848
2021-03-01,USA,99.77059
2021-04-01,USA,100.0054
2021-05-01,USA,99.949
2021-06-01,USA,99.74724
2021-07-01,USA,99.29726
2021-08-01,USA,98.75011
2021-09-01,USA,98.46287
2021-10-01,USA,98.28344
2021-11-01,USA,98.12737
2021-12-01,USA,98.02985
2022-01-01,USA,97.80383
2022-02-01,USA,97.50813
2022-03-01,USA,97.27968
2022-04-01,USA,97.11973
2022-05-01,USA,96.72855
2022-06-01,USA,96.33702
2022-07-01,USA,96.31038
2022-08-01,USA,96.56696
2022-09-01,USA,96.77853
2022-10-01,USA,96.88966
2022-11-01,USA,96.95239
2022-12-01,USA,97.16576
2023-01-01,USA,97.44239
2023-02-01,USA,97.55415
2023-03-01,USA,97.44615
2023-04-01,USA,97.35656
2023-05-01,USA,97.35719
2023-06-01,USA,97.63995
2023-07-01,USA,97.97193
2023-08-01,USA,98.01483
2023-09-01,USA,97.83838
2023-10-01,USA,97.63417
2023-11-01,USA,97.70691
2023-12-01,USA,98.21536
2024-01-01,USA,98.81011
2024-02-01,USA,99.09783
2024-03-01,USA,99.1236
2024-04-01,USA,98.83991
2024-05-01,USA,98.37049
2024-06-01,USA,98.03916
2024-07-01,USA,97.90125
2024-08-01,USA,97.9707
2024-09-01,USA,98.14953
2024-10-01,USA,98.33211
2024-11-01,USA,98.48107
2024-12-01,USA,98.49107
2018-01-01,DEU,102.0368
2018-02-01,DEU,102.0365
2018-03-01,DEU,101.9701
2018-04-01,DEU,101.8904
2018-05-01,DEU,101.8107
2018-06-01,DEU,101.7274
2018-07-01,DEU,101.6421
2018-08-01,DEU,101.6252
2018-09-01,DEU,101.613
2018-10-01,DEU,101.5788
2018-11-01,DEU,101.5449
2018-12-01,DEU,101.5201
2019-01-01,DEU,101.5348
2019-02-01,DEU,101.5491
2019-03-01,DEU,101.5548
2019-04-01,DEU,101.5023
2019-05-01,DEU,101.3724
2019-06-01,DEU,101.1902
2019-07-01,DEU,101.0397
2019-08-01,DEU,100.9384
2019-09-01,DEU,100.9304
2019-10-01,DEU,100.9378
2019-11-01,DEU,101.0375
2019-12-01,DEU,101.0508
2020-01-01,DEU,100.9617
2020-02-01,DEU,100.5777
2020-03-01,DEU,99.77222
2020-04-01,DEU,98.98397
2020-05-01,DEU,98.88866
2020-06-01,DEU,99.28458
2020-07-01,DEU,99.68764
2020-08-01,DEU,99.97318
2020-09-01,DEU,100.0306
2020-10-01,DEU,99.86203
2020-11-01,DEU,99.6406
2020-12-01,DEU,99.49428
2021-01-01,DEU,99.40071
2021-02-01,DEU,99.56416
2021-03-01,DEU,99.87492
2021-04-01,DEU,100.207
2021-05-01,DEU,100.7417
2021-06-01,DEU,101.2125
2021-07-01,DEU,101.3508
2021-08-01,DEU,101.3373
2021-09-01,DEU,101.3372
2021-10-01,DEU,101.1485
2021-11-01,DEU,100.8361
2021-12-01,DEU,100.5556
2022-01-01,DEU,100.3274
2022-02-01,DEU,99.83708
2022-03-01,DEU,99.00898
2022-04-01,DEU,98.32407
2022-05-01,DEU,97.89895
2022-06-01,DEU,97.47904
2022-07-01,DEU,96.97894
2022-08-01,DEU,96.59486
2022-09-01,DEU,96.26697
2022-10-01,DEU,96.3133
2022-11-01,DEU,96.71987
2022-12-01,DEU,97.28654
2023-01-01,DEU,97.85457
2023-02-01,DEU,98.3166
2023-03-01,DEU,98.60588
2023-04-01,DEU,98.88761
2023-05-01,DEU,99.01992
2023-06-01,DEU,99.00237
2023-07-01,DEU,98.90126
