week,factory,reg_capacity,ot_capacity
2018-01-01,FC_USA_1,189044,23258
2018-01-01,FC_USA_2,197250,23645
2018-01-01,FC_USA_3,157397,18959
2018-01-01,FC_USA_4,211201,41482
2018-01-01,FC_DEU_1,160347,24340
2018-01-01,FC_DEU_2,204886,38345
2018-01-01,FC_DEU_3,127378,16765
2018-01-01,FC_DEU_4,137369,20474
2018-01-01,FC_FRA_1,190575,27617
2018-01-01,FC_FRA_2,194656,31207
2018-01-01,FC_FRA_3,223266,24975
2018-01-01,FC_FRA_4,164636,30190
2018-01-01,FC_KOR_1,248849,40623
2018-01-01,FC_KOR_2,128595,19046
2018-01-01,FC_KOR_3,133270,23781
2018-01-01,FC_KOR_4,217217,32171
2018-01-01,FC_JPN_1,146492,15354
2018-01-01,FC_JPN_2,158122,23734
2018-01-01,FC_JPN_3,132874,22010
2018-01-01,FC_JPN_4,194331,27855
2018-01-01,FC_GBR_1,132599,19819
2018-01-01,FC_GBR_2,198007,33678
2018-01-01,FC_GBR_3,170507,26446
2018-01-01,FC_GBR_4,233722,38246
2018-01-01,FC_CAN_1,131956,15103
2018-01-01,FC_CAN_2,159956,26977
2018-01-01,FC_CAN_3,172321,32304
2018-01-01,FC_CAN_4,209960,31666
2018-01-01,FC_AUS_1,219414,23750
2018-01-01,FC_AUS_2,229914,42851
2018-01-01,FC_AUS_3,148136,20332
2018-01-01,FC_AUS_4,151365,29374
2018-01-01,FC_BRA_1,162884,25424
2018-01-01,FC_BRA_2,164653,31941
2018-01-01,FC_BRA_3,159820,30021
2018-01-01,FC_BRA_4,214544,21614
2018-01-01,FC_ZAF_1,176146,23830
2018-01-01,FC_ZAF_2,178296,19162
2018-01-01,FC_ZAF_3,156739,20527
2018-01-01,FC_ZAF_4,137609,14802
2018-01-08,FC_USA_1,214404,24072
2018-01-08,FC_USA_2,224328,24262
2018-01-08,FC_USA_3,151720,19367
2018-01-08,FC_USA_4,120663,14802
2018-01-08,FC_DEU_1,169842,17585
2018-01-08,FC_DEU_2,210625,31884
2018-01-08,FC_DEU_3,186659,32608
2018-01-08,FC_DEU_4,211294,29866
2018-01-08,FC_FRA_1,167713,21383
2018-01-08,FC_FRA_2,152795,16840
2018-01-08,FC_FRA_3,139176,20604
2018-01-08,FC_FRA_4,174514,20233
2018-01-08,FC_KOR_1,138088,17957
2018-01-08,FC_KOR_2,172896,24091
2018-01-08,FC_KOR_3,174270,31150
2018-01-08,FC_KOR_4,239809,27998
2018-01-08,FC_JPN_1,191556,22746
2018-01-08,FC_JPN_2,237554,41801
2018-01-08,FC_JPN_3,195837,21676
2018-01-08,FC_JPN_4,231675,32082
2018-01-08,FC_GBR_1,163856,26941
2018-01-08,FC_GBR_2,143692,17872
2018-01-08,FC_GBR_3,235493,44404
2018-01-08,FC_GBR_4,194725,30049
2018-01-08,FC_CAN_1,137726,25457
2018-01-08,FC_CAN_2,207926,22110
2018-01-08,FC_CAN_3,232050,33099
2018-01-08,FC_CAN_4,224601,30850
2018-01-08,FC_AUS_1,206860,40595
2018-01-08,FC_AUS_2,234753,45158
2018-01-08,FC_AUS_3,155876,20424
2018-01-08,FC_AUS_4,146028,18864
2018-01-08,FC_BRA_1,225863,40771
2018-01-08,FC_BRA_2,241437,37129
2018-01-08,FC_BRA_3,209078,39673
2018-01-08,FC_BRA_4,127246,18332
2018-01-08,FC_ZAF_1,178640,27042
2018-01-08,FC_ZAF_2,243400,34678
2018-01-08,FC_ZAF_3,184910,27225
2018-01-08,FC_ZAF_4,231012,29354
2018-01-15,FC_USA_1,226907,23337
2018-01-15,FC_USA_2,219968,24099
2018-01-15,FC_USA_3,212022,22810
2018-01-15,FC_USA_4,140276,24330
2018-01-15,FC_DEU_1,186363,28056
2018-01-15,FC_DEU_2,205530,33623
2018-01-15,FC_DEU_3,191770,33580
2018-01-15,FC_DEU_4,197529,28575
2018-01-15,FC_FRA_1,148461,18492
2018-01-15,FC_FRA_2,228734,45728
2018-01-15,FC_FRA_3,126083,25191
2018-01-15,FC_FRA_4,127225,19103
2018-01-15,FC_KOR_1,141588,23740
2018-01-15,FC_KOR_2,222040,29661
2018-01-15,FC_KOR_3,218994,37671
2018-01-15,FC_KOR_4,181345,25795
2018-01-15,FC_JPN_1,212585,33964
2018-01-15,FC_JPN_2,241528,37950
2018-01-15,FC_JPN_3,190674,34471
2018-01-15,FC_JPN_4,168643,23018
2018-01-15,FC_GBR_1,206136,34472
2018-01-15,FC_GBR_2,154186,24957
2018-01-15,FC_GBR_3,216409,39038
2018-01-15,FC_GBR_4,183645,32204
2018-01-15,FC_CAN_1,233627,41654
2018-01-15,FC_CAN_2,198466,25816
2018-01-15,FC_CAN_3,206000,22559
2018-01-15,FC_CAN_4,232190,35390
2018-01-15,FC_AUS_1,146900,23566
2018-01-15,FC_AUS_2,128418,16061
2018-01-15,FC_AUS_3,178193,29562
2018-01-15,FC_AUS_4,214139,22611
2018-01-15,FC_BRA_1,123972,20203
2018-01-15,FC_BRA_2,169397,23240
2018-01-15,FC_BRA_3,245416,33164
2018-01-15,FC_BRA_4,171656,17533
2018-01-15,FC_ZAF_1,186604,35109
2018-01-15,FC_ZAF_2,187896,20159
2018-01-15,FC_ZAF_3,164509,19113
2018-01-15,FC_ZAF_4,181340,35262
2018-01-22,FC_USA_1,248567,41445
2018-01-22,FC_USA_2,248630,44392
2018-01-22,FC_USA_3,242616,41186
2018-01-22,FC_USA_4,213861,31631
2018-01-22,FC_DEU_1,128988,17108
2018-01-22,FC_DEU_2,216843,42804
