date,country,category,spend_usd
2018-01-01,USA,TV,40392.52
2018-01-02,USA,TV,40392.52
2018-01-03,USA,SOCIAL,40392.52
2018-01-04,USA,TV,40392.52
2018-01-05,USA,OOH,40392.52
2018-01-06,USA,OOH,40392.52
2018-01-07,USA,OOH,40392.52
2018-01-08,USA,TV,0.0
2018-01-09,USA,ONLINE,0.0
2018-01-10,USA,ONLINE,44172.49
2018-01-11,USA,OOH,44172.49
2018-01-12,USA,ONLINE,44172.49
2018-01-13,USA,SOCIAL,44172.49
2018-01-14,USA,SOCIAL,44172.49
2018-01-15,USA,SOCIAL,44172.49
2018-01-16,USA,OOH,44172.49
2018-01-17,USA,TV,44172.49
2018-01-18,USA,OOH,44172.49
2018-01-19,USA,OOH,44172.49
2018-01-20,USA,ONLINE,44172.49
2018-01-21,USA,ONLINE,44172.49
2018-01-22,USA,OOH,44172.49
2018-01-23,USA,SOCIAL,44172.49
2018-01-24,USA,OOH,44172.49
2018-01-25,USA,SOCIAL,44172.49
2018-01-26,USA,SOCIAL,44172.49
2018-01-27,USA,OOH,44172.49
2018-01-28,USA,ONLINE,44172.49
2018-01-29,USA,SOCIAL,44172.49
2018-01-30,USA,ONLINE,0.0
2018-01-31,USA,SOCIAL,0.0
2018-02-01,USA,TV,0.0
2018-02-02,USA,SOCIAL,0.0
2018-02-03,USA,SOCIAL,0.0
2018-02-04,USA,ONLINE,0.0
2018-02-05,USA,ONLINE,0.0
2018-02-06,USA,TV,0.0
2018-02-07,USA,SOCIAL,21920.8
2018-02-08,USA,TV,21920.8
2018-02-09,USA,OOH,21920.8
2018-02-10,USA,ONLINE,21920.8
2018-02-11,USA,ONLINE,21920.8
2018-02-12,USA,OOH,21920.8
2018-02-13,USA,ONLINE,21920.8
2018-02-14,USA,TV,21920.8
2018-02-15,USA,TV,21920.8
2018-02-16,USA,SOCIAL,21920.8
2018-02-17,USA,ONLINE,21920.8
2018-02-18,USA,OOH,21920.8
2018-02-19,USA,OOH,21920.8
2018-02-20,USA,ONLINE,21920.8
2018-02-21,USA,TV,21920.8
2018-02-22,USA,ONLINE,21920.8
2018-02-23,USA,OOH,21920.8
2018-02-24,USA,ONLINE,21920.8
2018-02-25,USA,SOCIAL,21920.8
2018-02-26,USA,SOCIAL,0.0
2018-02-27,USA,TV,0.0
2018-02-28,USA,SOCIAL,0.0
2018-03-01,USA,TV,0.0
2018-03-02,USA,ONLINE,0.0
2018-03-03,USA,OOH,0.0
2018-03-04,USA,TV,0.0
2018-03-05,USA,SOCIAL,0.0
2018-03-06,USA,OOH,0.0
2018-03-07,USA,ONLINE,0.0
2018-03-08,USA,ONLINE,0.0
2018-03-09,USA,ONLINE,0.0
2018-03-10,USA,SOCIAL,0.0
2018-03-11,USA,TV,0.0
2018-03-12,USA,SOCIAL,0.0
2018-03-13,USA,OOH,0.0
2018-03-14,USA,OOH,60121.4
2018-03-15,USA,TV,60121.4
2018-03-16,USA,TV,60121.4
2018-03-17,USA,OOH,60121.4
2018-03-18,USA,SOCIAL,60121.4
