date,country,avg_temp,min_temp,max_temp,dewpoint,humidity,precip_mm,rain_mm,snow_mm,snow_depth_cm,pressure_msl,cloud_cover,wind_speed_avg,wind_speed_max,wind_gust_max,wind_dir_mode,shortwave_rad_MJ,vpd,hdd18,cdd18,delta_temp,delta_humidity
2018-01-01,USA,-8.520833333,-12.7,-4.4,-18.5875,46.33333333,0,0,0,0.01,1028.883333,26.54166667,3.712916667,5.33,11,306.159552,2427,1.722890933,26.52083333,0,8.3,
2018-01-02,USA,-8.375,-11.7,-2.5,-19.93333333,40.29166667,0,0,0,0.01,1030.245833,0.291666667,3.50625,4.89,10.5,280.2112626,2865,1.938849063,26.375,0,9.2,-6.041666667
2018-01-03,USA,-5.829166667,-12.1,1.7,-17.1125,43.04166667,0.3,0,0.21,0.01,1021.3,62.20833333,1.66125,3.3,7.8,90.11286521,2282,2.252039076,23.82916667,0,13.8,2.75
2018-01-04,USA,-4.854166667,-9,-3.1,-12.89166667,54.75,6.1,0,4.27,0.0391666667,1005.133333,73.5,6.73875,10.32,20.5,323.0866965,1004,1.927034778,22.85416667,0,5.9,11.70833333
2018-01-05,USA,-9.8625,-11.7,-7.2,-22.6375,35.16666667,0,0,0,0.0483333333,1016.0625,0,6.603333333,8.06,16.2,291.0812227,2986,1.872660918,27.8625,0,4.5,-19.58333333
2018-01-06,USA,-10.73333333,-13.4,-7.7,-22.9875,36.33333333,0,0,0,0.04,1027.166667,0,5.399166667,7.12,15,297.2659379,2994,1.71591094,28.73333333,0,5.7,1.166666667
2018-01-07,USA,-10.025,-15.5,-5.1,-20.675,43.08333333,0,0,0,0.04,1032.725,22.45833333,2.699583333,4.74,9.5,252.4655515,2836,1.622949753,28.025,0,10.4,6.75
2018-01-08,USA,-2.383333333,-7.8,3.2,-11.90833333,51.45833333,3.1,3.1,0,0.04,1020.695833,86,4.04375,5.14,9.9,204.0170699,1699,2.488400065,20.38333333,0,11,8.375
2018-01-09,USA,1.933333333,-2.2,8.8,-1.708333333,79.41666667,0,0,0,0.03625,1020.825,32.41666667,2.577083333,4.4,9.6,294.6446597,2648,1.445530188,16.06666667,0,11,27.95833333
2018-01-10,USA,1.1875,-3.1,7.2,-3.691666667,71.58333333,0,0,0,0.0270833333,1027.133333,66.45833333,1.94375,2.63,6.2,108.7951175,1489,1.891551669,16.8125,0,10.3,-7.833333333
2018-01-11,USA,8.154166667,0.3,16.2,5.766666667,85.70833333,1,1,0,0.01625,1023.1625,83.33333333,2.65375,5.1,9.5,177.9703428,2084,1.549338135,9.845833333,0,15.9,14.125
2018-01-12,USA,15.70833333,14,17.6,15.26666667,97,16.4,16.4,0,0.000833333333,1006.916667,99.25,4.647916667,5.87,17.6,172.4591327,305,0.535406325,2.291666667,0,3.6,11.29166667
2018-01-13,USA,1.479166667,-6.4,14.9,-4.679166667,66.25,10.4,10.1,0.21,0,1011.295833,74,6.3325,8.87,18.1,315.4679574,1198,2.294218325,16.52083333,0,21.3,-30.75
2018-01-14,USA,-6.55,-9.2,-2.5,-18.00416667,40.70833333,0,0,0,0,1033.65,19.33333333,3.76,5.75,12.4,350.3812339,3157,2.218157621,24.55,0,6.7,-25.54166667
2018-01-15,USA,-4.270833333,-8.4,1,-12.7625,52.70833333,0,0,0,0,1031.804167,44.41666667,1.784583333,2.82,5.9,42.11843653,2485,2.104858033,22.27083333,0,9.4,12
2018-01-16,USA,-0.504166667,-5,5.1,-4.741666667,74.5,0,0,0,0,1027.2625,81.45833333,1.19875,1.82,5.4,109.1432181,2673,1.501309544,18.50416667,0,10.1,21.79166667
2018-01-17,USA,-3.216666667,-6.7,-0.3,-10.9875,56.66666667,1.4,0,0.98,0.00458333333,1024.6375,93.95833333,4.65625,6.22,13,325.4584709,1425,2.087641334,21.21666667,0,6.4,-17.83333333
2018-01-18,USA,-2.320833333,-8.3,5.5,-15.55416667,38.08333333,0,0,0,0.01,1018.183333,2.125,4.715833333,5.88,11.8,310.4149831,3185,3.188807155,20.32083333,0,13.8,-18.58333333
2018-01-19,USA,1.925,-4.8,11.2,-10.90416667,42.16666667,0,0,0,0.00583333333,1016.095833,0.833333333,2.1275,3.75,8.3,260.4834707,3176,4.059107234,16.075,0,16,4.083333333
2018-01-20,USA,3.929166667,-2.8,13.7,-2.679166667,64,0,0,0,0,1013.6,18.66666667,2.18,3.21,6.6,260.1300182,3067,2.91317561,14.07083333,0,16.5,21.83333333
